product_category_name_english,product_category_main
health_beauty,"Health, Beauty & Grocery"
food_drink,"Health, Beauty & Grocery"
food,"Health, Beauty & Grocery"
drinks,"Health, Beauty & Grocery"
la_cuisine,"Health, Beauty & Grocery"
fashion_bags_accessories,"Clothes, Shoes, Jewellery and Accessories"
fashion_shoes,"Clothes, Shoes, Jewellery and Accessories"
luggage_accessories,"Clothes, Shoes, Jewellery and Accessories"
perfumery,"Clothes, Shoes, Jewellery and Accessories"
watches_gifts,"Clothes, Shoes, Jewellery and Accessories"
fashion_male_clothing,"Clothes, Shoes, Jewellery and Accessories"
fashion_underwear_beach,"Clothes, Shoes, Jewellery and Accessories"
fashio_female_clothing,"Clothes, Shoes, Jewellery and Accessories"
fashion_childrens_clothes,"Clothes, Shoes, Jewellery and Accessories"
computers_accessories,Electronics & Computers
telephony,Electronics & Computers
stationery,Electronics & Computers
tablets_printing_image,Electronics & Computers
fixed_telephony,Electronics & Computers
audio,Electronics & Computers
electronics,Electronics & Computers
computers,Electronics & Computers
auto,Auto
bed_bath_table,"Home, Garden, Pets & DIY"
furniture_decor,"Home, Garden, Pets & DIY"
housewares,"Home, Garden, Pets & DIY"
garden_tools,"Home, Garden, Pets & DIY"
small_appliances,"Home, Garden, Pets & DIY"
air_conditioning,"Home, Garden, Pets & DIY"
construction_tools_construction,"Home, Garden, Pets & DIY"
kitchen_dining_laundry_garden_furniture,"Home, Garden, Pets & DIY"
costruction_tools_garden,"Home, Garden, Pets & DIY"
pet_shop,"Home, Garden, Pets & DIY"
office_furniture,"Home, Garden, Pets & DIY"
home_appliances,"Home, Garden, Pets & DIY"
party_supplies,"Home, Garden, Pets & DIY"
home_confort,"Home, Garden, Pets & DIY"
costruction_tools_tools,"Home, Garden, Pets & DIY"
furniture_mattress_and_upholstery,"Home, Garden, Pets & DIY"
home_construction,"Home, Garden, Pets & DIY"
furniture_living_room,"Home, Garden, Pets & DIY"
construction_tools_lights,"Home, Garden, Pets & DIY"
furniture_bedroom,"Home, Garden, Pets & DIY"
signaling_and_security,"Home, Garden, Pets & DIY"
construction_tools_safety,"Home, Garden, Pets & DIY"
christmas_supplies,"Home, Garden, Pets & DIY"
home_appliances_2,"Home, Garden, Pets & DIY"
home_comfort_2,"Home, Garden, Pets & DIY"
small_appliances_home_oven_and_coffee,"Home, Garden, Pets & DIY"
flowers,"Home, Garden, Pets & DIY"
arts_and_craftmanship,"Home, Garden, Pets & DIY"
sports_leisure,Sports
fashion_sport,Sports
baby,"Toys, Children & Baby"
toys,"Toys, Children & Baby"
diapers_and_hygiene,"Toys, Children & Baby"
consoles_games,"Films, TV, Music & Games"
musical_instruments,"Films, TV, Music & Games"
cine_photo,"Films, TV, Music & Games"
music,"Films, TV, Music & Games"
cds_dvds_musicals,"Films, TV, Music & Games"
dvds_blu_ray,"Films, TV, Music & Games"
cool_stuff,Others
market_place,Others
agro_industry_and_commerce,Others
industry_commerce_and_business,Others
art,Others
security_and_services,Others
books_technical,Books
books_general_interest,Books
books_imported,Books
